semeval2015.d000.s000.t000 bn:00028015n
semeval2015.d000.s023.t002 bn:00096387a
semeval2015.d000.s023.t003 bn:00035913n
semeval2015.d000.s023.t004 bn:00083623v
semeval2015.d000.s023.t005 bn:00001173n
semeval2015.d000.s023.t006 bn:00031085n
semeval2015.d000.s023.t007 bn:00089893v
semeval2015.d000.s023.t008 bn:00084082v
semeval2015.d000.s023.t009 bn:00008788n
semeval2015.d000.s023.t010 bn:00013726n
semeval2015.d000.s023.t011 bn:00026301n
semeval2015.d000.s023.t012 bn:00067714n
semeval2015.d000.s023.t013 bn:00103522a
semeval2015.d000.s023.t014 bn:00053801n
semeval2015.d000.s023.t015 bn:00017027n
semeval2015.d000.s024.t000 bn:00082596v
semeval2015.d000.s025.t000 bn:00047235n
semeval2015.d000.s025.t001 bn:00106363a
semeval2015.d000.s025.t002 bn:00108692a
semeval2015.d000.s025.t003 bn:00054512n
semeval2015.d000.s025.t004 bn:00082596v
semeval2015.d000.s025.t005 bn:00099598a
semeval2015.d000.s025.t006 bn:00074790n
semeval2015.d000.s025.t007 bn:00061017n
semeval2015.d000.s025.t008 bn:00116360r
semeval2015.d000.s025.t009 bn:00087863v
semeval2015.d000.s025.t010 bn:00018141n
semeval2015.d000.s025.t011 bn:00027546n
semeval2015.d000.s025.t012 bn:00114512r
semeval2015.d000.s026.t000 bn:00029874n
semeval2015.d000.s026.t001 bn:00020878n
semeval2015.d000.s026.t002 bn:00085450v
semeval2015.d000.s026.t003 bn:00114235r
semeval2015.d000.s027.t000 bn:00047235n
semeval2015.d000.s027.t001 bn:00017027n
semeval2015.d000.s027.t002 bn:00052343n
semeval2015.d000.s027.t003 bn:00029874n
semeval2015.d000.s027.t004 bn:00085450v
semeval2015.d000.s027.t005 bn:00097220a
semeval2015.d000.s027.t006 bn:00054128n
semeval2015.d000.s027.t007 bn:00074790n
semeval2015.d000.s027.t008 bn:00089893v
semeval2015.d000.s027.t009 bn:00061017n
semeval2015.d000.s027.t010 bn:00116147r
semeval2015.d000.s027.t011 bn:00096528a
semeval2015.d000.s027.t012 bn:00106664a
semeval2015.d000.s027.t013 bn:00027546n
semeval2015.d000.s027.t014 bn:00087863v
semeval2015.d000.s027.t015 bn:00018141n
semeval2015.d000.s027.t016 bn:00060928n
semeval2015.d000.s028.t000 bn:00114246r
semeval2015.d000.s028.t001 bn:00085450v
semeval2015.d000.s028.t002 bn:00097220a
semeval2015.d000.s028.t003 bn:00054128n
semeval2015.d000.s028.t004 bn:00020878n
semeval2015.d000.s028.t005 bn:00074790n
semeval2015.d000.s028.t006 bn:00089893v
semeval2015.d000.s028.t007 bn:00061017n
semeval2015.d000.s028.t008 bn:00116360r
semeval2015.d000.s028.t009 bn:00087863v
semeval2015.d000.s028.t010 bn:00018141n
semeval2015.d000.s028.t011 bn:00052343n
semeval2015.d000.s028.t012 bn:00060928n
semeval2015.d000.s029.t000 bn:00074790n
semeval2015.d000.s029.t001 bn:00099598a
semeval2015.d000.s029.t002 bn:00054019n
semeval2015.d000.s029.t003 bn:00029877n
semeval2015.d000.s029.t004 bn:00116153r
semeval2015.d000.s029.t005 bn:00061017n
semeval2015.d000.s029.t006 bn:00085382v
semeval2015.d000.s030.t000 bn:00009905n
semeval2015.d000.s030.t001 bn:00086567v
semeval2015.d000.s030.t002 bn:00074790n
semeval2015.d000.s031.t000 bn:00089667v
semeval2015.d000.s031.t001 bn:00030811n
semeval2015.d000.s031.t002 bn:00077268n
semeval2015.d000.s031.t003 bn:00061017n
semeval2015.d000.s031.t004 bn:00106363a
semeval2015.d000.s031.t005 bn:00108692a
semeval2015.d000.s031.t006 bn:00054512n
semeval2015.d000.s032.t000 bn:00061017n
semeval2015.d000.s032.t001 bn:00087863v
semeval2015.d000.s032.t002 bn:00085382v
semeval2015.d000.s032.t003 bn:00007451n
semeval2015.d000.s032.t004 bn:00055794n
semeval2015.d000.s032.t005 bn:00085450v
semeval2015.d000.s032.t006 bn:00055794n
semeval2015.d000.s032.t007 bn:00114235r
semeval2015.d000.s033.t000 bn:00047235n
semeval2015.d000.s033.t001 bn:00061017n
semeval2015.d000.s033.t002 bn:00017027n
semeval2015.d000.s033.t003 bn:00052343n
semeval2015.d000.s033.t004 bn:00114354r
semeval2015.d000.s033.t005 bn:00102038a
semeval2015.d000.s033.t006 bn:00114354r
semeval2015.d000.s034.t000 bn:00061017n
semeval2015.d000.s034.t001 bn:00087863v
semeval2015.d000.s034.t002 bn:00018141n
semeval2015.d000.s034.t003 bn:00060928n
semeval2015.d000.s034.t004 bn:00097854a
semeval2015.d000.s034.t005 bn:00030811n
semeval2015.d000.s034.t006 bn:00077268n
semeval2015.d000.s034.t007 bn:00055794n
semeval2015.d000.s034.t008 bn:00085450v
semeval2015.d000.s034.t009 bn:00055794n
semeval2015.d000.s035.t000 bn:00061017n
semeval2015.d000.s035.t001 bn:00116360r
semeval2015.d000.s035.t002 bn:00087863v
semeval2015.d000.s035.t003 bn:00018141n
semeval2015.d000.s035.t004 bn:00060928n
semeval2015.d000.s035.t005 bn:00097854a
semeval2015.d000.s035.t006 bn:00030811n
semeval2015.d000.s035.t007 bn:00077268n
semeval2015.d000.s035.t008 bn:00055794n
semeval2015.d000.s035.t009 bn:00041942n
semeval2015.d000.s036.t000 bn:00115696r
semeval2015.d000.s036.t001 bn:00074790n
semeval2015.d000.s036.t002 bn:00061017n
semeval2015.d000.s036.t003 bn:00015180n
semeval2015.d000.s036.t004 bn:00116360r
semeval2015.d000.s036.t005 bn:00082427v
semeval2015.d000.s036.t006 bn:00073708n
semeval2015.d000.s036.t007 bn:00088745v
semeval2015.d000.s036.t008 bn:00106124a
semeval2015.d000.s036.t009 bn:00030811n
semeval2015.d000.s036.t010 bn:00077268n
semeval2015.d000.s037.t000 bn:00022261n
semeval2015.d000.s037.t001 bn:00061017n
semeval2015.d000.s037.t002 bn:00015180n
semeval2015.d000.s037.t003 bn:00082427v
semeval2015.d000.s037.t004 bn:00073708n
semeval2015.d000.s037.t005 bn:00088745v
semeval2015.d000.s037.t006 bn:00110561a
semeval2015.d000.s037.t007 bn:00030811n
semeval2015.d000.s037.t008 bn:00077268n
semeval2015.d001.s000.t000 bn:00106488a
semeval2015.d001.s000.t001 bn:00083141v
semeval2015.d001.s000.t002 bn:00053491n
semeval2015.d001.s001.t000 bn:00116382r
semeval2015.d001.s001.t001 bn:00099215a
semeval2015.d001.s001.t002 bn:00090557v
semeval2015.d001.s001.t003 bn:00102111a
semeval2015.d001.s001.t004 bn:00053826n
semeval2015.d001.s001.t005 bn:00097495a
semeval2015.d001.s001.t006 bn:00000102n
semeval2015.d001.s001.t007 bn:00041412n
semeval2015.d001.s002.t000 bn:00114120r
semeval2015.d001.s002.t001 bn:00116360r
semeval2015.d001.s002.t002 bn:00107182a
semeval2015.d001.s002.t003 bn:00090143v
semeval2015.d001.s002.t004 bn:00082705v
semeval2015.d001.s003.t000 bn:00083141v
semeval2015.d001.s003.t001 bn:00041412n
semeval2015.d001.s004.t000 bn:00114055r
semeval2015.d001.s004.t001 bn:00091201v
semeval2015.d001.s004.t002 bn:00114424r
semeval2015.d001.s004.t003 bn:00082705v
semeval2015.d001.s004.t004 bn:00106058a
semeval2015.d001.s004.t005 bn:00106488a
semeval2015.d001.s004.t006 bn:00020452n
semeval2015.d001.s005.t000 bn:00115639r
semeval2015.d001.s005.t001 bn:00099598a
semeval2015.d001.s005.t002 bn:00081292n
semeval2015.d001.s006.t000 bn:00099598a
semeval2015.d001.s006.t001 bn:00081292n
semeval2015.d001.s007.t000 bn:00099598a
semeval2015.d001.s007.t001 bn:00081292n
semeval2015.d001.s007.t002 bn:00085498v
semeval2015.d001.s007.t003 bn:00022002n
semeval2015.d001.s007.t004 bn:00041412n
semeval2015.d001.s007.t005 bn:00000102n
semeval2015.d001.s007.t006 bn:00041412n
semeval2015.d001.s007.t007 bn:00026967n
semeval2015.d001.s008.t000 bn:00114401r
semeval2015.d001.s008.t001 bn:00086708v
semeval2015.d001.s008.t002 bn:00046850n
semeval2015.d001.s008.t003 bn:00034274n
semeval2015.d001.s008.t004 bn:00095295v
semeval2015.d001.s008.t005 bn:00036821n
semeval2015.d001.s008.t006 bn:00087108v
semeval2015.d001.s008.t007 bn:00014689n
semeval2015.d001.s009.t000 bn:00086682v
semeval2015.d001.s009.t001 bn:00095375v
semeval2015.d001.s009.t002 bn:00088629v
semeval2015.d001.s009.t003 bn:00098274a
semeval2015.d001.s009.t004 bn:00076919n
semeval2015.d001.s009.t005 bn:00087108v
semeval2015.d001.s009.t006 bn:00092443v
semeval2015.d001.s009.t007 bn:00046850n
semeval2015.d001.s009.t008 bn:00085761v
semeval2015.d001.s009.t009 bn:00116360r
semeval2015.d001.s009.t010 bn:00107182a
semeval2015.d001.s009.t011 bn:00090143v
semeval2015.d001.s010.t000 bn:00083141v
semeval2015.d001.s010.t001 bn:00114508r
semeval2015.d001.s010.t002 bn:00021164n
semeval2015.d001.s010.t003 bn:00116360r
semeval2015.d001.s010.t004 bn:00101358a
semeval2015.d001.s011.t000 bn:00090448v
semeval2015.d001.s011.t001 bn:00114748r
semeval2015.d001.s011.t002 bn:00090452v
semeval2015.d001.s011.t003 bn:00116789r
semeval2015.d001.s011.t004 bn:00105977a
semeval2015.d001.s012.t000 bn:00001296n
semeval2015.d001.s012.t001 bn:00055233n
semeval2015.d001.s012.t002 bn:00056300n
semeval2015.d001.s012.t003 bn:00027919n
semeval2015.d001.s013.t000 bn:00032355n
semeval2015.d001.s013.t001 bn:00082705v
semeval2015.d001.s014.t000 bn:00114246r
semeval2015.d001.s014.t001 bn:00108829a
semeval2015.d001.s014.t002 bn:00082705v
semeval2015.d001.s015.t000 bn:00032355n
semeval2015.d001.s015.t001 bn:00001965n
semeval2015.d001.s015.t002 bn:00090557v
semeval2015.d001.s015.t003 bn:00068247n
semeval2015.d001.s015.t004 bn:00114246r
semeval2015.d001.s016.t000 bn:00033729n
semeval2015.d001.s016.t001 bn:00086468v
semeval2015.d001.s016.t002 bn:00098761a
semeval2015.d001.s016.t003 bn:00079583n
semeval2015.d001.s016.t004 bn:00036821n
semeval2015.d001.s017.t000 bn:00082705v
semeval2015.d001.s017.t001 bn:00091005v
semeval2015.d001.s017.t002 bn:00104162a
semeval2015.d001.s017.t003 bn:00004489n
semeval2015.d001.s018.t000 bn:00060753n
semeval2015.d001.s018.t001 bn:00086708v
semeval2015.d001.s018.t002 bn:00036821n
semeval2015.d001.s018.t003 bn:00082813v
semeval2015.d001.s018.t004 bn:00059141n
semeval2015.d001.s019.t000 bn:00095141v
semeval2015.d001.s019.t001 bn:00059141n
semeval2015.d001.s019.t002 bn:00116360r
semeval2015.d001.s019.t003 bn:00095141v
semeval2015.d001.s019.t004 bn:00079373n
semeval2015.d001.s019.t005 bn:00036821n
semeval2015.d001.s020.t000 bn:00082705v
semeval2015.d001.s020.t001 bn:00086468v
semeval2015.d001.s020.t002 bn:00079508n
semeval2015.d001.s021.t000 bn:00021645n
semeval2015.d001.s021.t001 bn:00025928n
semeval2015.d001.s022.t000 bn:00033729n
semeval2015.d001.s022.t001 bn:00086468v
semeval2015.d001.s022.t002 bn:00100214a
semeval2015.d001.s022.t003 bn:00053826n
semeval2015.d001.s023.t000 bn:00087681v
semeval2015.d001.s023.t001 bn:00021645n
semeval2015.d001.s023.t002 bn:00082705v
semeval2015.d001.s023.t003 bn:00021645n
semeval2015.d001.s023.t004 bn:00116450r
semeval2015.d001.s023.t005 bn:00112148a
semeval2015.d001.s023.t006 bn:00086708v
semeval2015.d001.s023.t007 bn:00021645n
semeval2015.d001.s023.t008 bn:00085363v
semeval2015.d001.s023.t009 bn:00105740a
semeval2015.d001.s023.t010 bn:00016401n
semeval2015.d001.s025.t000 bn:00082705v
semeval2015.d001.s025.t001 bn:00086468v
semeval2015.d001.s026.t000 bn:00114714r
semeval2015.d001.s026.t001 bn:00113456a
semeval2015.d001.s026.t002 bn:00095812v
semeval2015.d001.s027.t000 bn:00114424r
semeval2015.d001.s027.t001 bn:00082821v
semeval2015.d001.s027.t002 bn:00079373n
semeval2015.d001.s028.t000 bn:00101973a
semeval2015.d001.s028.t001 bn:00085744v
semeval2015.d001.s028.t002 bn:00036821n
semeval2015.d001.s028.t003 bn:00022956n
semeval2015.d001.s028.t004 bn:00071709n
semeval2015.d001.s028.t005 bn:00108011a
semeval2015.d001.s028.t006 bn:00112111a
semeval2015.d001.s028.t007 bn:00036821n
semeval2015.d001.s028.t008 bn:00003604n
semeval2015.d001.s028.t009 bn:00053827n
semeval2015.d001.s029.t000 bn:00116360r
semeval2015.d001.s029.t001 bn:00085860v
semeval2015.d001.s029.t002 bn:00035907n
semeval2015.d001.s030.t000 bn:00082705v
semeval2015.d001.s030.t001 bn:00001296n
semeval2015.d001.s030.t002 bn:00056300n
semeval2015.d001.s030.t003 bn:00089240v
semeval2015.d001.s030.t004 bn:00059141n
semeval2015.d001.s031.t000 bn:00113456a
semeval2015.d001.s032.t000 bn:00114427r
semeval2015.d001.s032.t001 bn:00089240v
semeval2015.d001.s032.t002 bn:00051508n
semeval2015.d001.s032.t003 bn:00079583n
semeval2015.d001.s033.t000 bn:00084662v
semeval2015.d001.s033.t001 bn:00082536v
semeval2015.d001.s033.t002 bn:00082553v
semeval2015.d001.s033.t003 bn:00079508n
semeval2015.d001.s033.t004 bn:00114626r
semeval2015.d001.s033.t005 bn:00001965n
semeval2015.d001.s033.t006 bn:00088310v
semeval2015.d001.s033.t007 bn:00051831n
semeval2015.d001.s034.t000 bn:00019848n
semeval2015.d001.s034.t001 bn:00087681v
semeval2015.d001.s034.t002 bn:00032395n
semeval2015.d001.s034.t003 bn:00079583n
semeval2015.d001.s034.t004 bn:00079508n
semeval2015.d001.s034.t005 bn:00082553v
semeval2015.d001.s034.t006 bn:00105740a
semeval2015.d001.s034.t007 bn:00034520n
semeval2015.d001.s035.t000 bn:00107270a
semeval2015.d001.s035.t001 bn:00081292n
semeval2015.d001.s036.t000 bn:00051831n
semeval2015.d001.s037.t000 bn:00090416v
semeval2015.d001.s038.t000 bn:00087107v
semeval2015.d001.s038.t001 bn:00020945n
semeval2015.d001.s038.t002 bn:00025320n
semeval2015.d001.s038.t003 bn:00114819r
semeval2015.d001.s039.t000 bn:00107292a
semeval2015.d001.s039.t001 bn:00086682v
semeval2015.d001.s039.t002 bn:00086468v
semeval2015.d001.s039.t003 bn:00050969n
semeval2015.d001.s039.t004 bn:00092413v
semeval2015.d001.s039.t005 bn:00107791a
semeval2015.d001.s039.t006 bn:00081568n
semeval2015.d001.s040.t000 bn:00093281v
semeval2015.d001.s041.t000 bn:00093281v
semeval2015.d001.s041.t001 bn:00020945n
semeval2015.d001.s041.t002 bn:00095295v
semeval2015.d001.s041.t003 bn:00083344v
semeval2015.d001.s041.t004 bn:00096152a
semeval2015.d001.s041.t005 bn:00092558v
semeval2015.d001.s042.t000 bn:00084080v
semeval2015.d001.s042.t001 bn:00028018n
semeval2015.d001.s042.t002 bn:00101973a
semeval2015.d001.s042.t003 bn:00084308v
semeval2015.d001.s042.t004 bn:00082705v
semeval2015.d001.s042.t005 bn:00076736n
semeval2015.d001.s043.t000 bn:00093281v
semeval2015.d001.s043.t001 bn:00051831n
semeval2015.d001.s044.t000 bn:00093281v
semeval2015.d001.s044.t001 bn:00051831n
semeval2015.d001.s044.t002 bn:00034520n
semeval2015.d001.s044.t003 bn:00045087n
semeval2015.d001.s044.t004 bn:00096152a
semeval2015.d001.s044.t005 bn:00089639v
semeval2015.d001.s044.t006 bn:00084099v
semeval2015.d001.s045.t000 bn:00084710v
semeval2015.d001.s046.t000 bn:00021492n
semeval2015.d001.s046.t001 bn:00115114r
semeval2015.d001.s047.t000 bn:00082317v
semeval2015.d001.s047.t001 bn:00107270a
semeval2015.d001.s047.t002 bn:00041412n
semeval2015.d001.s047.t003 bn:00087108v
semeval2015.d001.s047.t004 bn:00088912v
semeval2015.d001.s047.t005 bn:00041412n
semeval2015.d001.s047.t006 bn:00082317v
semeval2015.d001.s047.t007 bn:00082317v
semeval2015.d001.s047.t008 bn:00107270a
semeval2015.d001.s047.t009 bn:00036821n
semeval2015.d001.s048.t000 bn:00114281r
semeval2015.d001.s048.t001 bn:00017153n
semeval2015.d001.s048.t002 bn:00046850n
semeval2015.d001.s048.t003 bn:00076732n
semeval2015.d001.s048.t004 bn:00012528n
semeval2015.d001.s048.t005 bn:00095295v
semeval2015.d001.s048.t006 bn:00036821n
semeval2015.d001.s049.t000 bn:00086682v
semeval2015.d001.s049.t001 bn:00082705v
semeval2015.d001.s049.t002 bn:00112217a
semeval2015.d001.s049.t003 bn:00116360r
semeval2015.d001.s049.t004 bn:00107182a
semeval2015.d001.s049.t005 bn:00091005v
semeval2015.d001.s050.t000 bn:00087681v
semeval2015.d001.s050.t001 bn:00036821n
semeval2015.d001.s050.t002 bn:00096817a
semeval2015.d001.s050.t003 bn:00087013v
semeval2015.d001.s050.t004 bn:00041412n
semeval2015.d001.s050.t005 bn:00099598a
semeval2015.d001.s050.t006 bn:00081292n
semeval2015.d001.s051.t000 bn:00090224v
semeval2015.d001.s051.t001 bn:00110469a
semeval2015.d001.s051.t002 bn:00041412n
semeval2015.d001.s051.t003 bn:00110075a
semeval2015.d001.s051.t004 bn:00079985n
semeval2015.d001.s052.t000 bn:00114626r
semeval2015.d001.s052.t001 bn:00082705v
semeval2015.d001.s052.t002 bn:00082317v
semeval2015.d001.s052.t003 bn:00051508n
semeval2015.d001.s052.t004 bn:00055444n
semeval2015.d001.s053.t000 bn:00090224v
semeval2015.d001.s053.t001 bn:00041412n
semeval2015.d001.s053.t002 bn:00020733n
semeval2015.d002.s000.t000 bn:00036064n
semeval2015.d002.s000.t001 bn:00116085r
semeval2015.d002.s000.t002 bn:00089893v
semeval2015.d002.s000.t003 bn:00091196v
semeval2015.d002.s000.t004 bn:00021721n
semeval2015.d002.s000.t005 bn:00084527v
semeval2015.d002.s000.t006 bn:00100676a
semeval2015.d002.s000.t007 bn:00017557n
semeval2015.d002.s001.t000 bn:00060798n
semeval2015.d002.s001.t001 bn:00099598a
semeval2015.d002.s001.t002 bn:00047082n
semeval2015.d002.s001.t003 bn:00082907v
semeval2015.d002.s001.t004 bn:00086341v
semeval2015.d002.s001.t005 bn:00047688n
semeval2015.d002.s001.t006 bn:00068130n
semeval2015.d002.s001.t007 bn:00099258a
semeval2015.d002.s001.t008 bn:00001177n
semeval2015.d002.s001.t009 bn:00089661v
semeval2015.d002.s001.t010 bn:00109212a
semeval2015.d002.s001.t011 bn:00007300n
semeval2015.d002.s001.t012 bn:00110842a
semeval2015.d002.s001.t013 bn:00113672a
